Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.46       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 356        |
|    time_elapsed         | 7604       |
|    total_timesteps      | 729088     |
| train/                  |            |
|    approx_kl            | 0.12983412 |
|    clip_fraction        | 0.619      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.756      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.148     |
|    n_updates            | 3550       |
|    policy_gradient_loss | -0.099     |
|    value_loss           | 0.0592     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 3.38        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 357         |
|    time_elapsed         | 7626        |
|    total_timesteps      | 731136      |
| train/                  |             |
|    approx_kl            | 0.111343265 |
|    clip_fraction        | 0.588       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.822       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.128      |
|    n_updates            | 3560        |
|    policy_gradient_loss | -0.0955     |
|    value_loss           | 0.0425      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.37       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 358        |
|    time_elapsed         | 7646       |
|    total_timesteps      | 733184     |
| train/                  |            |
|    approx_kl            | 0.11433357 |
|    clip_fraction        | 0.577      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.66       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 3570       |
|    policy_gradient_loss | -0.0968    |
|    value_loss           | 0.0691     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | 3.35        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 359         |
|    time_elapsed         | 7666        |
|    total_timesteps      | 735232      |
| train/                  |             |
|    approx_kl            | 0.121435076 |
|    clip_fraction        | 0.615       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.773       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.137      |
|    n_updates            | 3580        |
|    policy_gradient_loss | -0.1        |
|    value_loss           | 0.052       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.42       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 360        |
|    time_elapsed         | 7687       |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.11054215 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.823      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.153     |
|    n_updates            | 3590       |
|    policy_gradient_loss | -0.0982    |
|    value_loss           | 0.0474     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 183         |
|    ep_rew_mean          | 3.38        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 361         |
|    time_elapsed         | 7707        |
|    total_timesteps      | 739328      |
| train/                  |             |
|    approx_kl            | 0.120744854 |
|    clip_fraction        | 0.598       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.163      |
|    n_updates            | 3600        |
|    policy_gradient_loss | -0.103      |
|    value_loss           | 0.0528      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 185         |
|    ep_rew_mean          | 3.49        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 362         |
|    time_elapsed         | 7727        |
|    total_timesteps      | 741376      |
| train/                  |             |
|    approx_kl            | 0.093017735 |
|    clip_fraction        | 0.562       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.3        |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.124      |
|    n_updates            | 3610        |
|    policy_gradient_loss | -0.0901     |
|    value_loss           | 0.0516      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.29       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 363        |
|    time_elapsed         | 7750       |
|    total_timesteps      | 743424     |
| train/                  |            |
|    approx_kl            | 0.10749465 |
|    clip_fraction        | 0.594      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.849      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 3620       |
|    policy_gradient_loss | -0.0979    |
|    value_loss           | 0.0422     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.4        |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 364        |
|    time_elapsed         | 7770       |
|    total_timesteps      | 745472     |
| train/                  |            |
|    approx_kl            | 0.12011838 |
|    clip_fraction        | 0.569      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.803      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.145     |
|    n_updates            | 3630       |
|    policy_gradient_loss | -0.0947    |
|    value_loss           | 0.0481     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.42       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 365        |
|    time_elapsed         | 7790       |
|    total_timesteps      | 747520     |
| train/                  |            |
|    approx_kl            | 0.13756983 |
|    clip_fraction        | 0.631      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.748      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.128     |
|    n_updates            | 3640       |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.0575     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 178        |
|    ep_rew_mean          | 3.42       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 366        |
|    time_elapsed         | 7812       |
|    total_timesteps      | 749568     |
| train/                  |            |
|    approx_kl            | 0.10773943 |
|    clip_fraction        | 0.577      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.75       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.142     |
|    n_updates            | 3650       |
|    policy_gradient_loss | -0.0946    |
|    value_loss           | 0.0577     |
----------------------------------------
Eval num_timesteps=750000, episode_reward=2.50 +/- 0.49
Episode length: 167.40 +/- 12.64
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 167        |
|    mean_reward          | 2.5        |
| time/                   |            |
|    total_timesteps      | 750000     |
| train/                  |            |
|    approx_kl            | 0.11298987 |
|    clip_fraction        | 0.571      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.817      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.147     |
|    n_updates            | 3660       |
|    policy_gradient_loss | -0.0934    |
|    value_loss           | 0.0508     |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 178      |
|    ep_rew_mean     | 3.31     |
| time/              |          |
|    fps             | 95       |
|    iterations      | 367      |
|    time_elapsed    | 7841     |
|    total_timesteps | 751616   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 3.29        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 368         |
|    time_elapsed         | 7862        |
|    total_timesteps      | 753664      |
| train/                  |             |
|    approx_kl            | 0.119719416 |
|    clip_fraction        | 0.585       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.137      |
|    n_updates            | 3670        |
|    policy_gradient_loss | -0.0957     |
|    value_loss           | 0.0484      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.16       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 369        |
|    time_elapsed         | 7884       |
|    total_timesteps      | 755712     |
| train/                  |            |
|    approx_kl            | 0.11992097 |
|    clip_fraction        | 0.595      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.813      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.119     |
|    n_updates            | 3680       |
|    policy_gradient_loss | -0.098     |
|    value_loss           | 0.0483     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.15       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 370        |
|    time_elapsed         | 7903       |
|    total_timesteps      | 757760     |
| train/                  |            |
|    approx_kl            | 0.09932141 |
|    clip_fraction        | 0.553      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.75       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.112     |
|    n_updates            | 3690       |
|    policy_gradient_loss | -0.0869    |
|    value_loss           | 0.0616     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 3.23       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 371        |
|    time_elapsed         | 7924       |
|    total_timesteps      | 759808     |
| train/                  |            |
|    approx_kl            | 0.12864897 |
|    clip_fraction        | 0.606      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.151     |
|    n_updates            | 3700       |
|    policy_gradient_loss | -0.0986    |
|    value_loss           | 0.0358     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 372        |
|    time_elapsed         | 7945       |
|    total_timesteps      | 761856     |
| train/                  |            |
|    approx_kl            | 0.12543736 |
|    clip_fraction        | 0.593      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.826      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.148     |
|    n_updates            | 3710       |
|    policy_gradient_loss | -0.0948    |
|    value_loss           | 0.0511     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 373        |
|    time_elapsed         | 7967       |
|    total_timesteps      | 763904     |
| train/                  |            |
|    approx_kl            | 0.12253546 |
|    clip_fraction        | 0.589      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.834      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 3720       |
|    policy_gradient_loss | -0.0986    |
|    value_loss           | 0.0494     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 3.29       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 374        |
|    time_elapsed         | 7987       |
|    total_timesteps      | 765952     |
| train/                  |            |
|    approx_kl            | 0.12558511 |
|    clip_fraction        | 0.585      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.859      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.152     |
|    n_updates            | 3730       |
|    policy_gradient_loss | -0.0947    |
|    value_loss           | 0.0483     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 3.41       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 375        |
|    time_elapsed         | 8008       |
|    total_timesteps      | 768000     |
| train/                  |            |
|    approx_kl            | 0.11419243 |
|    clip_fraction        | 0.585      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.882      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.118     |
|    n_updates            | 3740       |
|    policy_gradient_loss | -0.0933    |
|    value_loss           | 0.0378     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 3.52       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 376        |
|    time_elapsed         | 8027       |
|    total_timesteps      | 770048     |
| train/                  |            |
|    approx_kl            | 0.11114338 |
|    clip_fraction        | 0.571      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.859      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 3750       |
|    policy_gradient_loss | -0.0922    |
|    value_loss           | 0.0513     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.66       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 377        |
|    time_elapsed         | 8048       |
|    total_timesteps      | 772096     |
| train/                  |            |
|    approx_kl            | 0.13055328 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.819      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.131     |
|    n_updates            | 3760       |
|    policy_gradient_loss | -0.0942    |
|    value_loss           | 0.0532     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 183        |
|    ep_rew_mean          | 3.81       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 378        |
|    time_elapsed         | 8068       |
|    total_timesteps      | 774144     |
| train/                  |            |
|    approx_kl            | 0.10471879 |
|    clip_fraction        | 0.578      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.811      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.121     |
|    n_updates            | 3770       |
|    policy_gradient_loss | -0.0886    |
|    value_loss           | 0.0512     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 178        |
|    ep_rew_mean          | 3.68       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 379        |
|    time_elapsed         | 8089       |
|    total_timesteps      | 776192     |
| train/                  |            |
|    approx_kl            | 0.11361876 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.834      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.114     |
|    n_updates            | 3780       |
|    policy_gradient_loss | -0.0929    |
|    value_loss           | 0.0559     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 3.66        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 380         |
|    time_elapsed         | 8110        |
|    total_timesteps      | 778240      |
| train/                  |             |
|    approx_kl            | 0.120379895 |
|    clip_fraction        | 0.584       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.25       |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.138      |
|    n_updates            | 3790        |
|    policy_gradient_loss | -0.0941     |
|    value_loss           | 0.0697      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.63       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 381        |
|    time_elapsed         | 8131       |
|    total_timesteps      | 780288     |
| train/                  |            |
|    approx_kl            | 0.14801975 |
|    clip_fraction        | 0.633      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.761      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.128     |
|    n_updates            | 3800       |
|    policy_gradient_loss | -0.1       |
|    value_loss           | 0.0583     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 181       |
|    ep_rew_mean          | 3.51      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 382       |
|    time_elapsed         | 8150      |
|    total_timesteps      | 782336    |
| train/                  |           |
|    approx_kl            | 0.1327912 |
|    clip_fraction        | 0.595     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.21     |
|    explained_variance   | 0.795     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.161    |
|    n_updates            | 3810      |
|    policy_gradient_loss | -0.0992   |
|    value_loss           | 0.055     |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.5        |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 383        |
|    time_elapsed         | 8171       |
|    total_timesteps      | 784384     |
| train/                  |            |
|    approx_kl            | 0.12476887 |
|    clip_fraction        | 0.596      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.781      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0889    |
|    n_updates            | 3820       |
|    policy_gradient_loss | -0.095     |
|    value_loss           | 0.0473     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 182        |
|    ep_rew_mean          | 3.51       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 384        |
|    time_elapsed         | 8193       |
|    total_timesteps      | 786432     |
| train/                  |            |
|    approx_kl            | 0.11683943 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.815      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.14      |
|    n_updates            | 3830       |
|    policy_gradient_loss | -0.0921    |
|    value_loss           | 0.0495     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | 3.47        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 385         |
|    time_elapsed         | 8212        |
|    total_timesteps      | 788480      |
| train/                  |             |
|    approx_kl            | 0.115356304 |
|    clip_fraction        | 0.58        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.21       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.14       |
|    n_updates            | 3840        |
|    policy_gradient_loss | -0.0924     |
|    value_loss           | 0.0502      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.43       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 386        |
|    time_elapsed         | 8233       |
|    total_timesteps      | 790528     |
| train/                  |            |
|    approx_kl            | 0.10848574 |
|    clip_fraction        | 0.582      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.826      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 3850       |
|    policy_gradient_loss | -0.0898    |
|    value_loss           | 0.0532     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | 3.33        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 387         |
|    time_elapsed         | 8256        |
|    total_timesteps      | 792576      |
| train/                  |             |
|    approx_kl            | 0.124805875 |
|    clip_fraction        | 0.603       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.17       |
|    explained_variance   | 0.862       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.127      |
|    n_updates            | 3860        |
|    policy_gradient_loss | -0.0942     |
|    value_loss           | 0.0412      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.32       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 388        |
|    time_elapsed         | 8277       |
|    total_timesteps      | 794624     |
| train/                  |            |
|    approx_kl            | 0.11171771 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.811      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.153     |
|    n_updates            | 3870       |
|    policy_gradient_loss | -0.0948    |
|    value_loss           | 0.0641     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.34       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 389        |
|    time_elapsed         | 8299       |
|    total_timesteps      | 796672     |
| train/                  |            |
|    approx_kl            | 0.11545428 |
|    clip_fraction        | 0.584      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.19      |
|    explained_variance   | 0.844      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.136     |
|    n_updates            | 3880       |
|    policy_gradient_loss | -0.0908    |
|    value_loss           | 0.0574     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.3        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 390        |
|    time_elapsed         | 8319       |
|    total_timesteps      | 798720     |
| train/                  |            |
|    approx_kl            | 0.13301696 |
|    clip_fraction        | 0.613      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.75       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.15      |
|    n_updates            | 3890       |
|    policy_gradient_loss | -0.0979    |
|    value_loss           | 0.0734     |
----------------------------------------
Eval num_timesteps=800000, episode_reward=2.50 +/- 1.50
Episode length: 172.40 +/- 19.56
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 172        |
|    mean_reward          | 2.5        |
| time/                   |            |
|    total_timesteps      | 800000     |
| train/                  |            |
|    approx_kl            | 0.11935042 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.855      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 3900       |
|    policy_gradient_loss | -0.0969    |
|    value_loss           | 0.0431     |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 167      |
|    ep_rew_mean     | 3.35     |
| time/              |          |
|    fps             | 95       |
|    iterations      | 391      |
|    time_elapsed    | 8352     |
|    total_timesteps | 800768   |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 166       |
|    ep_rew_mean          | 3.29      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 392       |
|    time_elapsed         | 8373      |
|    total_timesteps      | 802816    |
| train/                  |           |
|    approx_kl            | 0.1204741 |
|    clip_fraction        | 0.572     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.11     |
|    explained_variance   | 0.826     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.16     |
|    n_updates            | 3910      |
|    policy_gradient_loss | -0.0891   |
|    value_loss           | 0.0664    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 162        |
|    ep_rew_mean          | 3.16       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 393        |
|    time_elapsed         | 8395       |
|    total_timesteps      | 804864     |
| train/                  |            |
|    approx_kl            | 0.11666787 |
|    clip_fraction        | 0.579      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.794      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 3920       |
|    policy_gradient_loss | -0.0901    |
|    value_loss           | 0.0569     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 161        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 394        |
|    time_elapsed         | 8416       |
|    total_timesteps      | 806912     |
| train/                  |            |
|    approx_kl            | 0.11250943 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.757      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.147     |
|    n_updates            | 3930       |
|    policy_gradient_loss | -0.0934    |
|    value_loss           | 0.0631     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 395        |
|    time_elapsed         | 8439       |
|    total_timesteps      | 808960     |
| train/                  |            |
|    approx_kl            | 0.13037413 |
|    clip_fraction        | 0.615      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.824      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0989    |
|    n_updates            | 3940       |
|    policy_gradient_loss | -0.0967    |
|    value_loss           | 0.0485     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 165         |
|    ep_rew_mean          | 3.18        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 396         |
|    time_elapsed         | 8459        |
|    total_timesteps      | 811008      |
| train/                  |             |
|    approx_kl            | 0.105951644 |
|    clip_fraction        | 0.572       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.2        |
|    explained_variance   | 0.809       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.127      |
|    n_updates            | 3950        |
|    policy_gradient_loss | -0.0932     |
|    value_loss           | 0.0592      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 166        |
|    ep_rew_mean          | 3.25       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 397        |
|    time_elapsed         | 8481       |
|    total_timesteps      | 813056     |
| train/                  |            |
|    approx_kl            | 0.11659946 |
|    clip_fraction        | 0.579      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.18      |
|    explained_variance   | 0.825      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 3960       |
|    policy_gradient_loss | -0.0878    |
|    value_loss           | 0.0489     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 164        |
|    ep_rew_mean          | 3.24       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 398        |
|    time_elapsed         | 8502       |
|    total_timesteps      | 815104     |
| train/                  |            |
|    approx_kl            | 0.12866613 |
|    clip_fraction        | 0.599      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.798      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.11      |
|    n_updates            | 3970       |
|    policy_gradient_loss | -0.0972    |
|    value_loss           | 0.0524     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.36       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 399        |
|    time_elapsed         | 8522       |
|    total_timesteps      | 817152     |
| train/                  |            |
|    approx_kl            | 0.12557507 |
|    clip_fraction        | 0.606      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.78       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.144     |
|    n_updates            | 3980       |
|    policy_gradient_loss | -0.095     |
|    value_loss           | 0.0644     |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 174      |
|    ep_rew_mean          | 3.38     |
| time/                   |          |
|    fps                  | 95       |
|    iterations           | 400      |
|    time_elapsed         | 8542     |
|    total_timesteps      | 819200   |
| train/                  |          |
|    approx_kl            | 0.119176 |
|    clip_fraction        | 0.601    |
|    clip_range           | 0.2      |
|    entropy_loss         | -2.25    |
|    explained_variance   | 0.769    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.127   |
|    n_updates            | 3990     |
|    policy_gradient_loss | -0.0973  |
|    value_loss           | 0.0587   |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
